Date,series,OPEN,HIGH,LOW,PREV_CLOSE,ltp,close,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades
17-Jun-2022,EQ,656,661.75,638,654.2,643.95,643.65,646.81,781.8,519,11085830,7170431128.75,165091
16-Jun-2022,EQ,683.1,683.9,650,682.1,653.5,654.2,662.01,781.8,519,9525587,6306016844.25,193065
15-Jun-2022,EQ,681.95,685,673.5,682.05,681,682.1,680.41,781.8,519,6005970,4086541593.25,79681
14-Jun-2022,EQ,669.1,689.4,669.1,671.3,683.4,682.05,679.53,781.8,519,8878530,6033199557.7,161507
13-Jun-2022,EQ,660.1,673.35,658,673.35,671.9,671.3,666.38,781.8,519,5982102,3986323713.4,130518
10-Jun-2022,EQ,668,676.45,668,676.35,672.6,673.35,673.6,781.8,519,3221484,2170002489.7,72166
09-Jun-2022,EQ,660,679.4,655.1,663.3,677,676.35,670.14,781.8,519,6774925,4540157594.75,168782
08-Jun-2022,EQ,682.5,687.8,660.45,685.3,664.9,663.3,674.4,781.8,519,13904149,9376899045.95,177650
07-Jun-2022,EQ,678.15,687.25,673.3,682.95,686.55,685.3,680.42,781.8,519,8349903,5681429422.75,106285
06-Jun-2022,EQ,682.2,689.8,676.5,686.5,684,682.95,684.27,781.8,519,6407024,4384162865.6,82541
03-Jun-2022,EQ,697.05,700.8,685.25,695.95,686.9,686.5,689.19,781.8,519,6673615,4599395771.85,97259
02-Jun-2022,EQ,688.9,696.95,683.05,694.65,696.45,695.95,691.34,781.8,519,3466993,2396864597.3,95791
01-Jun-2022,EQ,701.55,706.2,691.25,700.2,695.2,694.65,697.2,781.8,519,3749781,2614354829.45,82070
31-May-2022,EQ,697.5,706.6,692.6,699.05,704.9,700.2,700.16,781.8,519,44593174,31222384433.35,145892
30-May-2022,EQ,687.45,703.75,683,684.4,696.1,699.05,696.04,781.8,519,4675033,3254009697.7,88950
27-May-2022,EQ,697.05,700,676,693.65,685,684.4,687.84,781.8,518.7,7131633,4905405213.1,133134
26-May-2022,EQ,690,695.5,675.9,688.2,694,693.65,686.11,781.8,518.7,5780597,3966106443.7,138732
25-May-2022,EQ,681.25,689.9,679.55,678.2,688.15,688.2,684.58,781.8,518.7,4188088,2867094996.55,83203
24-May-2022,EQ,689.25,689.25,675.85,685.85,680.05,678.2,679.99,781.8,518.7,4053608,2756396322.65,91794
23-May-2022,EQ,681.8,693.9,679.6,687.9,686.4,685.85,687.99,781.8,518.7,3788601,2606528213.35,85546
20-May-2022,EQ,688.5,691.5,683,674.25,686.45,687.9,686.98,781.8,518.7,5577407,3831558517.7,138276
19-May-2022,EQ,685,693,667.85,696.15,678,674.25,681.96,781.8,518.7,7322668,4993782108.65,162772
18-May-2022,EQ,721,727.15,689.2,707.05,694.45,696.15,703.54,781.8,518.7,18992703,13362187997.9,347555
17-May-2022,EQ,695,710,690.85,693.2,705.6,707.05,702.51,781.8,518.7,4847812,3405613793.95,96058
16-May-2022,EQ,685.85,698,679.65,689.9,692,693.2,690.37,781.8,518.7,5412233,3736419404.55,101215
13-May-2022,EQ,713,713,684.75,705.4,685.85,689.9,696.81,781.8,518.7,11938252,8318729809.65,192522
12-May-2022,EQ,715.25,722.8,701.25,722.85,703.4,705.4,709.05,781.8,518.7,6754953,4789576823.05,152352
11-May-2022,EQ,719.65,735,716.9,719.65,722.7,722.85,724.65,781.8,518.7,6919703,5014359458.55,122248
10-May-2022,EQ,711,728.5,710.15,711.5,719.4,719.65,722.26,781.8,518.7,6746893,4873013763.6,99962
09-May-2022,EQ,706.1,720.5,704.45,710.25,712,711.5,713.62,781.8,518.7,4819274,3439126712.6,70056
06-May-2022,EQ,711.25,723.9,707.75,718.95,711,710.25,715.4,781.8,518.7,5912312,4229659562.25,163129
05-May-2022,EQ,726,733.1,714.25,722.4,722.35,718.95,724.4,781.8,518.7,4836692,3503723722.25,103451
04-May-2022,EQ,737,739.35,717,741.35,723.3,722.4,727.65,781.8,518.7,6785271,4937275463.65,172944
02-May-2022,EQ,734,742.95,730.35,739,741.15,741.35,738.1,781.8,518.7,3938533,2907041429.95,77380
29-Apr-2022,EQ,752,761,735.55,747.35,739.5,739,748.63,781.8,518.7,7219115,5404450311.6,108059
28-Apr-2022,EQ,751,754.3,744.6,752.5,746,747.35,748.48,781.8,518.7,6101866,4567143508.1,115258
27-Apr-2022,EQ,750,761.55,746.4,756.3,752,752.5,753.6,781.8,518.7,4571399,3445012188.65,110530
26-Apr-2022,EQ,745,758.9,739.1,739.35,756,756.3,750.75,781.8,518.7,4987848,3744626322.35,99326
25-Apr-2022,EQ,729.95,743,729.15,738.75,739.5,739.35,736.43,781.8,518.7,3571031,2629801132.75,60077
22-Apr-2022,EQ,731,740.9,729,735.75,736.9,738.75,737.19,781.8,518.7,5182247,3820279418.85,86692
21-Apr-2022,EQ,743.9,743.9,730,739.35,738.45,735.75,738.7,781.8,518.7,6111830,4514820013.95,113613
20-Apr-2022,EQ,730.05,744.5,723.95,723.5,738.25,739.35,738.03,781.8,518.7,6632292,4894816527,125132
19-Apr-2022,EQ,739,739,716.85,729.5,719.5,723.5,728.28,781.8,518.7,9957060,7251573217.15,162713
18-Apr-2022,EQ,736.65,740.15,723.4,740.65,732.3,729.5,728.67,781.8,518.7,8950327,6521833849.2,112351
13-Apr-2022,EQ,742,756.5,737.95,741.65,739.9,740.65,746.35,781.8,518.5,6343030,4734103794.15,111544
12-Apr-2022,EQ,759.95,759.95,740.1,758.05,742,741.65,747.78,781.8,518.5,3904026,2919333392.5,113238
